inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id
GRUPO EDIFIKARTE,https://e.nexoinmobiliario.pe/customers/grupo-edifikarte-sac/logo-235-20231027061804.jpg,AREQUIPA AVENUE 4015,En Planos,535217,Av. Arequipa 4015,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3194-arequipa-avenue-4015-miraflores-lima-lima-grupo-edifikarte,https://e.nexoinmobiliario.pe/customers/grupo-edifikarte-sac/3194-arequipa-avenue-4015/departamentos-miraflores-66954a2cba991_xm.jpg,Miraflores,150122
GRUPO CARAL,https://e.nexoinmobiliario.pe/customers/grupo-caral/logo-45-20231027061759.jpg,CASA PARAUD,En Construcción,644530,Calle San Ignacio de Loyola 150,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3205-casa-paraud-miraflores-lima-lima-grupo-caral,https://e.nexoinmobiliario.pe/customers/grupo-caral/3205-casa-paraud/departamentos-miraflores-66bb89e39a473_xm.jpg,Miraflores,150122
AURORA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/grupo-aurora/logo-228-20231027061803.jpg,Parque Córdova 2,En Planos,804031,Av. General Córdova  234,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3206-parque-cordova-2-miraflores-lima-lima-aurora-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/grupo-aurora/3206-parque-cordova-2/departamentos-miraflores-65f47955cb3e6_xm.jpg,Miraflores,150122
EFRON ARQUITECTOS,https://e.nexoinmobiliario.pe/customers/efron-arquitectos/logo-358-20231027061809.jpg,Mendiburu 1290,En Planos,466375,Mendiburú 1290,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3212-mendiburu-1290-miraflores-lima-lima-efron-arquitectos,https://e.nexoinmobiliario.pe/customers/efron-arquitectos/3212-mendiburu-1290/departamentos-miraflores-6761af3e5796f_xm.jpg,Miraflores,150122
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,Urban Heights,En Planos,412841,Avenida Paseo De La Republica 6143,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3215-urban-heights-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/3215-urban-heights/departamentos-miraflores-661ea368a5a5c_xm.jpg,Miraflores,150122
VIDARQ,https://e.nexoinmobiliario.pe/customers/vidarq/logo-270-20231204113436.png,ROOSEVELT 64,En Construcción,612000,Av. Roosevelt 6429,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3217-roosevelt-64-miraflores-lima-lima-vidarq,https://e.nexoinmobiliario.pe/customers/vidarq/3217-roosevelt-64/departamentos-miraflores-66d8e936f2b0e_xm.jpg,Miraflores,150122
PAZ,https://e.nexoinmobiliario.pe/customers/paz-centenario-s-a/logo-22-20231027061758.jpg,Taller,En Planos,421577,CALLE TORIBIO POLO 450,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3219-taller-miraflores-lima-lima-paz,https://e.nexoinmobiliario.pe/customers/paz-centenario-s-a/3219-taller/departamentos-miraflores-662bc709c2b31_xm.jpg,Miraflores,150122
IMAGINA,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/logo-186-20240103165124.jpg,Concepto One Place,En Planos,457072,Roosevelt 6260,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3220-concepto-one-place-miraflores-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/3220-concepto-one-place/departamentos-miraflores-6696f7a7d7fe0_xm.jpg,Miraflores,150122
ESPARQ INVERSIONES,https://e.nexoinmobiliario.pe/customers/esparq-inversiones-s-a/logo-467-20231027061813.jpg,DENIM,En Planos,499954,Calle Tarapacá 140 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3231-denim-miraflores-lima-lima-esparq-inversiones,https://e.nexoinmobiliario.pe/customers/esparq-inversiones-s-a/3231-denim/departamentos-miraflores-66fae26227d14_xm.jpg,Miraflores,150122
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | Park Town,En Planos,501361,"Av. Casimiro Ulloa 490, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3250-albamar-park-town-miraflores-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/3250-albamar-park-town/departamentos-miraflores-66ad0c2b44750_xm.jpg,Miraflores,150122
EE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/logo-366-20231027061809.jpg,Boloña 256,En Construcción,466375,Av. Monseñor Roca y Boloña 256,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3285-bolona-256-miraflores-lima-lima-ee-inmobiliaria,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/3285-bolona-256/departamentos-miraflores-670164381d4d0_xm.jpg,Miraflores,150122
EE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/logo-366-20231027061809.jpg,Boloña 1250,En Planos,526071,Av. Roca y Boloña 1250,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3300-bolona-1250-miraflores-lima-lima-ee-inmobiliaria,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/3300-bolona-1250/departamentos-miraflores-6764964020bb5_xm.jpg,Miraflores,150122
EE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/logo-366-20231027061809.jpg,POP,En Planos,347000, Calle San Ignacio de Loyola 692,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3316-pop-miraflores-lima-lima-ee-inmobiliaria,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/3316-pop/departamentos-miraflores-65fdf6228b6a3_xm.jpg,Miraflores,150122
CONSTRUCTORA MAGNIFICA,https://e.nexoinmobiliario.pe/customers/constructora-titan-s-a/logo-193-20240410115228.png,Colón 524,En Construcción,709636,Colón 524,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3327-colon-524-miraflores-lima-lima-constructora-magnifica,https://e.nexoinmobiliario.pe/customers/constructora-titan-s-a/3327-colon-524/departamentos-miraflores-6622ef62057cd_xm.jpg,Miraflores,150122
AURORA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/grupo-aurora/logo-228-20231027061803.jpg,Vanderghen 400,En Planos,753662,Av. Jorge Vanderghen 406,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3337-vanderghen-400-miraflores-lima-lima-aurora-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/grupo-aurora/3337-vanderghen-400/departamentos-miraflores-66573a02bf35d_xm.jpg,Miraflores,150122
PUERTA DE TIERRA,https://e.nexoinmobiliario.pe/customers/puerta-de-tierra-sa/logo-278-20231027061806.jpg,TOMMY,En Planos,495723,Av. Tomas Marsano 2020,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3340-tommy-miraflores-lima-lima-puerta-de-tierra,https://e.nexoinmobiliario.pe/customers/puerta-de-tierra-sa/3340-tommy/departamentos-miraflores-6627d96addef4_xm.jpg,Miraflores,150122
TALE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/logo-322-20231027061807.jpg,VILLARREAL 337,En Planos,458913,FEDERICO VILLARREAL 337 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3341-villarreal-337-miraflores-lima-lima-tale-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/3341-villarreal-337/departamentos-miraflores-66cf390ae888c_xm.jpg,Miraflores,150122
VIDARQ,https://e.nexoinmobiliario.pe/customers/vidarq/logo-270-20231204113436.png,SUCRE 45,En Planos,600000,"Pje. Sucre 138, miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3348-sucre-45-miraflores-lima-lima-vidarq,https://e.nexoinmobiliario.pe/customers/vidarq/3348-sucre-45/departamentos-miraflores-66d8ed4d51d8e_xm.jpg,Miraflores,150122
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,The Edge,En Planos,741311,Avenida Jose Larco 1215,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3350-the-edge-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/3350-the-edge/departamentos-miraflores-66f1a6d01dab3_xm.jpg,Miraflores,150122
