fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"30 de Noviembre, 2023",58.61 a 65.90 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,15,2 dorm.,63.64 m2,x01,"473,300",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria
"30 de Noviembre, 2023",58.61 a 65.90 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,13,3 dorm.,64.82 m2,x03,"487,200",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria
"30 de Noviembre, 2023",58.61 a 65.90 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,58.61 m2,205,"396,100",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria
"30 de Noviembre, 2023",58.61 a 65.90 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,3,2 dorm.,65.90 m2,306,"427,500",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria
"31 de Marzo, 2024",66.82 a 96.01 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,10,3 dorm.,66.82 m2,Tipo 1,"478,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria
"31 de Marzo, 2024",66.82 a 96.01 m2,Departamento,2 a 3 dormitorios,8 unidades disponibles,Entre 7 al 15,3 dorm.,72.60 m2,Tipo 5,"512,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria
"31 de Marzo, 2024",66.82 a 96.01 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,85.89 m2,6 -I,"521,244",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,9,3 dorm.,74.40 m2,1,"484,632",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,13,3 dorm.,74.57 m2,2,"480,951",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,12,3 dorm.,72.76 m2,3,"466,848",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,12,1 dorm.,42.45 m2,4,"299,187",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,11,2 dorm.,59.46 m2,7,"405,414",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,11,2 dorm.,58.96 m2,8,"402,012",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
