proyecto_link,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3220-concepto-one-place-miraflores-lima-lima-imagina,-12.1271478,-77.018288,13,4,14,14,2,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3645-parque-ugarriza-miraflores-lima-lima-orizzonte-grupo-inmobiliario,-12.1270866,-77.0188119,14,5,15,14,2,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3416-brick-reducto-984-miraflores-lima-lima-grupo-binda,-12.1269738,-77.0245561,9,8,18,18,6,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica,-12.1268973,-77.029471,20,9,20,20,7,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3530-preston-barranco-lima-lima-franca-inmobiliaria,-12.1268164,-77.0277446,20,8,20,20,6,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3051-upper-28-miraflores-lima-lima-edifica,-12.1267872,-77.028838,20,9,20,20,8,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3348-sucre-45-miraflores-lima-lima-vidarq,-12.1266958,-77.0256132,12,9,20,20,7,18,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2302-marsano-2670-miraflores-lima-lima-tale-inmobiliaria,-12.1266146,-77.003098,12,5,16,20,1,19,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3169-milano-28-de-julio-miraflores-lima-lima-grupo-binda,-12.126607,-77.0305844,20,10,20,20,5,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2945-aldabas-de-las-gardenias-edificio-residencial-116-santiago-de-surco-lima-lima-grupo-dicon,-12.1264894,-76.9840315,16,5,14,20,2,19,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3575-28-de-julio-miraflores-lima-lima-galeon-constructora,-12.1263529,-77.0312145,20,10,20,20,6,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2307-benavides-1130-miraflores-lima-lima-v-v-grupo-inmobiliario,-12.1262068,-77.0208213,17,5,20,11,4,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3598-inspira-2-santiago-de-surco-lima-lima-sembra-inmobiliaria,-12.1259192,-76.9802622,5,3,15,16,4,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3612-heliana-santiago-de-surco-lima-lima-pisonay-inmobiliaria,-12.1258955,-76.9944439,6,1,12,15,0,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2652-larco-791-miraflores-lima-lima-v-v-grupo-inmobiliario,-12.1258551,-77.0293357,20,11,20,20,7,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3540-navarra-360-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1257328,-76.9933202,5,1,11,15,0,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3407-altaris-miraflores-lima-lima-capac-asociados,-12.1255857,-77.0037743,10,4,17,17,1,15,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3679-vista-tower-surquillo-lima-lima-quatro-inmobiliaria,-12.1254311,-77.0031055,15,4,19,19,1,18,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3375-escudero-miraflores-lima-lima-elsvan-construcciones-inmobiliarias,-12.1253211,-77.0039736,10,4,17,17,1,14,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3250-albamar-park-town-miraflores-lima-lima-albamar-grupo-inmobiliario,-12.1252591,-77.0231478,8,3,20,20,6,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3204-bartolome-herrera-266-santiago-de-surco-lima-lima-inmobiliaria-ayd,-12.125257,-76.9844399,15,3,8,20,1,14,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2952-checor-porta-360-miraflores-lima-lima-checor-inmobiliaria,-12.1251929,-77.0322308,20,11,20,20,6,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3384-zentro-lince-lima-lima-central-inmobiliaria,-12.1250451,-76.9847052,15,3,9,20,1,14,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2924-ble-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1246371,-76.9865786,13,2,12,18,1,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2881-batallon-ayacucho-santiago-de-surco-lima-lima-constructora-framan,-12.1241929,-76.9847021,13,2,8,20,1,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2920-abstract-miraflores-lima-lima-urbana-perú,-12.1241121,-77.0219541,7,2,20,19,5,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3331-high-life-surquillo-lima-lima-madrid-inmobiliaria,-12.1238982,-77.0043386,6,1,11,14,1,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2226-schell-miraflores-lima-lima-volterra,-12.1236364,-77.0250437,16,6,20,20,10,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2906-pedro-venturo-662-santiago-de-surco-lima-lima-venti-grupo-inmobiliario,-12.123572,-76.9911721,5,1,9,19,1,1,20
