inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id,fecha,medidas,tipo,dormitorios
ECOHABITAT DESARROLLO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/ecohabitat-desarrollo-inmobiliario-sac/logo-344-20241216105130.jpg,Del Rio 294,En Planos,359375,Av. del rio 294,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3509-del-rio-294-pueblo-libre-lima-lima-ecohabitat-desarrollo-inmobiliario,https://e.nexoinmobiliario.pe/customers/ecohabitat-desarrollo-inmobiliario-sac/3509-del-rio-294/departamentos-pueblo-libre-6706bd18d8b8e_xm.jpg,Pueblo Libre,150121,"31 de Julio, 2026",63.55 a 86.88 m2,Departamento,1 a 3 dormitorios
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,LIBERTÀ,En Planos,234490,Jr. Cipriano Dulanto 209 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3538-libert-pueblo-libre-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/3538-libert/departamentos-pueblo-libre-6722728c920ba_xm.jpg,Pueblo Libre,150121,"30 de Diciembre, 2026",38.00 a 84.00 m2,Departamento,1 a 3 dormitorios
CANNY ARQUITECTOS,https://e.nexoinmobiliario.pe/customers/canny-arquitectos/logo-573-20241123225618.jpeg,Zaragoza 110,En Construcción,385981,Jr. Zaragoza 110 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3584-zaragoza-110-pueblo-libre-lima-lima-canny-arquitectos,https://e.nexoinmobiliario.pe/customers/canny-arquitectos/3584-zaragoza-110/departamentos-pueblo-libre-673e17cc4e6d6_xm.jpg,Pueblo Libre,150121,"31 de Agosto, 2025",57.00 a 88.00 m2,Departamento,2 a 3 dormitorios
GRUPO CARAL,https://e.nexoinmobiliario.pe/customers/grupo-caral/logo-45-20231027061759.jpg,Villa Alba,En Planos,229407,Av. Cipriano Dulanto 1085,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3610-villa-alba-pueblo-libre-lima-lima-grupo-caral,https://e.nexoinmobiliario.pe/customers/grupo-caral/3610-villa-alba/departamentos-pueblo-libre-67525415c3e8f_xm.jpg,Pueblo Libre,150121,N/A,N/A,N/A,N/A
VALICO,https://e.nexoinmobiliario.pe/customers/valico-sac/logo-33-20231027061758.jpg,Novara,Entrega Inmediata,840456,Paseo de la Republica 5745,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1776-novara-miraflores-lima-lima-valico,https://e.nexoinmobiliario.pe/customers/valico-sac/1776-novara/departamentos-miraflores-627d8a885c635_xm.jpg,Miraflores,150122,"30 de Junio, 2022",120.14 a 120.14 m2,Departamento,3 a 3 dormitorios
QOLONO INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/qolono-inmobiliaria/logo-291-20231027061806.jpg,THE POINT,Entrega Inmediata,988715,"Av. Unánue 234, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1917-the-point-miraflores-lima-lima-qolono-inmobiliaria,https://e.nexoinmobiliario.pe/customers/qolono-inmobiliaria/1917-the-point/departamentos-miraflores-648ce6ba332af_xm.jpg,Miraflores,150122,"01 de Enero, 2024",100.26 a 123.00 m2,Departamento,3 a 3 dormitorios
FUNDAMENTA,https://e.nexoinmobiliario.pe/customers/fundamenta-gestio-peru-s-a-c/logo-62-20231027061759.jpg,Edificio Eco 28,Entrega Inmediata,1136800,Av. 28 de Julio 639 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1929-edificio-eco-28-miraflores-lima-lima-fundamenta,https://e.nexoinmobiliario.pe/customers/fundamenta-gestio-peru-s-a-c/1929-edificio-eco-28/departamentos-miraflores-66c7bccb08ac1_xm.jpg,Miraflores,150122,"30 de Junio, 2023",102.93 a 102.93 m2,Departamento,3 a 3 dormitorios
LA VENTUROSA,https://e.nexoinmobiliario.pe/customers/la-venturosa-sa/logo-13-20231027061757.jpg,Edificio VIVERDI,Entrega Inmediata,491108,"Calle José Domingo Choquehuanca 487, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1970-edificio-viverdi-miraflores-lima-lima-la-venturosa,https://e.nexoinmobiliario.pe/customers/la-venturosa-sa/1970-edificio-viverdi/departamentos-miraflores-638e4f1f8c96a_xm.jpg,Miraflores,150122,"30 de Noviembre, 2022",59.80 a 60.19 m2,Departamento,1 a 1 dormitorios
ACTUAL,https://e.nexoinmobiliario.pe/customers/actual-inmobiliaria/logo-86-20231027061800.jpg,Arequipa,Entrega Inmediata,540490,Av Arequipa 4405 miraflores ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1988-arequipa-miraflores-lima-lima-actual,https://e.nexoinmobiliario.pe/customers/actual-inmobiliaria/1988-arequipa/departamentos-miraflores-66a17e75f2172_xm.jpg,Miraflores,150122,"30 de Diciembre, 2023",66.04 a 95.75 m2,Departamento,1 a 2 dormitorios
TALE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/logo-322-20231027061807.jpg,La Mar 1055,En Construcción,447720,AV LA MAR 1055 MIRAFLORES,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2072-la-mar-1055-miraflores-lima-lima-tale-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/2072-la-mar-1055/departamentos-miraflores-6564d8e8a7bfe_xm.jpg,Miraflores,150122,"31 de Marzo, 2025",43.00 a 87.00 m2,Departamento,1 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/logo-87-20231027061800.jpg,Amancae,Entrega Inmediata,712500,Av. Pardo 1051,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2121-amancae-miraflores-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/2121-amancae/departamentos-miraflores-675c948e9a3b9_xm.jpg,Miraflores,150122,"29 de Marzo, 2024",87.15 a 87.15 m2,Departamento,3 a 3 dormitorios
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,Thu,Entrega Inmediata,650000,Calle Enrique Palacios 1133,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2164-thu-miraflores-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2164-thu/departamentos-miraflores-61a103a58992b_xm.jpg,Miraflores,150122,"30 de Mayo, 2024",61.39 a 129.30 m2,Departamento,1 a 3 dormitorios
AURORA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/grupo-aurora/logo-228-20231027061803.jpg,Malecón La Paz,Entrega Inmediata,732768,Av. La Paz 1455 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2200-malecon-la-paz-miraflores-lima-lima-aurora-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/grupo-aurora/2200-malecon-la-paz/departamentos-miraflores-60d36f1fe011d_xm.jpg,Miraflores,150122,"31 de Enero, 2024",71.00 a 141.00 m2,Departamento,1 a 1 dormitorios
V&V GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/logo-130-20231031163109.jpg,ROOSEVELT 5591,En Construcción,452000,Av. Roosevelt 5591 - miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2211-roosevelt-5591-miraflores-lima-lima-v-v-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/2211-roosevelt-5591/departamentos-miraflores-66c4d20765191_xm.jpg,Miraflores,150122,"31 de Octubre, 2024",54.64 a 84.14 m2,Departamento,2 a 3 dormitorios
VOLTERRA,https://e.nexoinmobiliario.pe/customers/volterra-desarrollo-inmobiliario/logo-242-20231027061804.jpg,Schell,En Construcción,659229,calle Schell 605,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2226-schell-miraflores-lima-lima-volterra,https://e.nexoinmobiliario.pe/customers/volterra-desarrollo-inmobiliario/2226-schell/departamentos-miraflores-60b7b9a6aed3c_xm.jpg,Miraflores,150122,"30 de Junio, 2025",64.86 a 131.57 m2,Departamento,1 a 3 dormitorios
C & V GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/grupo-inmobiliario-c-v/logo-422-20231027061811.jpg,Edificio Portofino,Entrega Inmediata,584066,"Av. Santa Cruz 1550, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2256-edificio-portofino-miraflores-lima-lima-c---v-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/grupo-inmobiliario-c-v/2256-edificio-portofino/departamentos-miraflores-651744a1c250e_xm.jpg,Miraflores,150122,"30 de Agosto, 2024",60.23 a 101.88 m2,Departamento,1 a 3 dormitorios
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,Sevilla,Entrega Inmediata,628802,Sevilla 107,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/2279-sevilla/departamentos-miraflores-655234d1a661a_xm.jpg,Miraflores,150122,"15 de Noviembre, 2023",60.04 a 147.87 m2,Departamento,1 a 3 dormitorios
LABOK GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/bertolotto-investments-s-a-c/logo-292-20231027061806.jpg,Santa Isabel 169,Entrega Inmediata,1208844,Santa Isabel 169,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2294-santa-isabel-169-miraflores-lima-lima-labok-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/bertolotto-investments-s-a-c/2294-santa-isabel-169/departamentos-miraflores-610d626f488c8_xm.jpg,Miraflores,150122,"30 de Noviembre, 2023",118.50 a 119.64 m2,Departamento,2 a 3 dormitorios
TALE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/logo-322-20231027061807.jpg,MARSANO 2670,Entrega Inmediata,533533,Av Marsano 2670,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2302-marsano-2670-miraflores-lima-lima-tale-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/2302-marsano-2670/departamentos-miraflores-6564d98fe1a2e_xm.jpg,Miraflores,150122,"31 de Julio, 2024",57.00 a 91.64 m2,Departamento,1 a 3 dormitorios
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,Atelier,Entrega Inmediata,532470,"Sevilla 169, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2338-atelier-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/2338-atelier/departamentos-miraflores-61ae76867ad3e_xm.jpg,Miraflores,150122,"30 de Abril, 2024",48.01 a 48.01 m2,Departamento,1 a 1 dormitorios
ARMANDO PAREDES,https://e.nexoinmobiliario.pe/customers/armando-paredes/logo-144-20231027061801.jpg,Toribio Polo,En Construcción,529694,Toribio polo 322,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2383-toribio-polo-miraflores-lima-lima-armando-paredes,https://e.nexoinmobiliario.pe/customers/armando-paredes/2383-toribio-polo/departamentos-miraflores-63208f9e6353a_xm.jpg,Miraflores,150122,"31 de Diciembre, 2025",60.44 a 185.15 m2,Departamento,2 a 3 dormitorios
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,San Martin 836,En Construcción,762515,calle san martin 836,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2395-san-martin-836-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/2395-san-martin-836/departamentos-miraflores-6331d02460749_xm.jpg,Miraflores,150122,"31 de Marzo, 2024",77.59 a 112.68 m2,Departamento,1 a 2 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20240917125426.jpg,Le Rosier,En Construcción,470435,Av. Roosevelt 5877 miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2415-le-rosier-miraflores-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/2415-le-rosier/departamentos-miraflores-62bb6a0aa6dc7_xm.jpg,Miraflores,150122,"31 de Mayo, 2025",60.57 a 93.95 m2,Departamento,2 a 3 dormitorios
