inmobiliaria_nombre,proyecto_nombre,proyecto_etapa,proyecto_direccion,proyecto_distrito,ubigeo_id,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant,fecha,proyecto_tipo,proyecto_medidas,proyecto_dormitorios,dep_disponibilidad,dep_piso,dep_dormitorios,dep_area,dep_modelo,dep_precio
CASAIDEAL INMOBILIARIA,UNITY,Entrega Inmediata,"Av. Arenales N° 1109, Cercado de Lima",Cercado de lima,150101,-12.0759817,-77.0367775,20,20,20,20,20,20,20,"30 de Noviembre, 2023",Departamento,58.61 a 65.90 m2,2 a 3 dormitorios,1 unidad disponible,15,2 dorm.,63.64 m2,x01,473300
CASAIDEAL INMOBILIARIA,UNITY,Entrega Inmediata,"Av. Arenales N° 1109, Cercado de Lima",Cercado de lima,150101,-12.0759817,-77.0367775,20,20,20,20,20,20,20,"30 de Noviembre, 2023",Departamento,58.61 a 65.90 m2,2 a 3 dormitorios,1 unidad disponible,13,3 dorm.,64.82 m2,x03,487200
CASAIDEAL INMOBILIARIA,UNITY,Entrega Inmediata,"Av. Arenales N° 1109, Cercado de Lima",Cercado de lima,150101,-12.0759817,-77.0367775,20,20,20,20,20,20,20,"30 de Noviembre, 2023",Departamento,58.61 a 65.90 m2,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,58.61 m2,205,396100
CASAIDEAL INMOBILIARIA,UNITY,Entrega Inmediata,"Av. Arenales N° 1109, Cercado de Lima",Cercado de lima,150101,-12.0759817,-77.0367775,20,20,20,20,20,20,20,"30 de Noviembre, 2023",Departamento,58.61 a 65.90 m2,2 a 3 dormitorios,1 unidad disponible,3,2 dorm.,65.90 m2,306,427500
CHECOR INMOBILIARIA,Checor | Las Magnolias,Entrega Inmediata,Av. Petit Thouars 1460,Cercado de lima,150101,-12.0790862,-77.0342798,20,20,20,20,20,20,20,"31 de Marzo, 2024",Departamento,66.82 a 96.01 m2,2 a 3 dormitorios,1 unidad disponible,10,3 dorm.,66.82 m2,Tipo 1,478000
CHECOR INMOBILIARIA,Checor | Las Magnolias,Entrega Inmediata,Av. Petit Thouars 1460,Cercado de lima,150101,-12.0790862,-77.0342798,20,20,20,20,20,20,20,"31 de Marzo, 2024",Departamento,66.82 a 96.01 m2,2 a 3 dormitorios,8 unidades disponibles,Entre 7 al 15,3 dorm.,72.60 m2,Tipo 5,512000
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,1 unidad disponible,1,1 dorm.,51.44 m2,Tipo 8-l,356166
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,2 unidades disponibles,2 y 9,3 dorm.,68.52 m2,Tipo 2,478800
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,2 unidades disponibles,3 y 11,2 dorm.,69.04 m2,Tipo 3,482400
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,1 unidad disponible,12,2 dorm.,55.00 m2,Tipo 8,392985
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,3 unidades disponibles,"1, 2, 8",1 dorm.,67.25 m2,Tipo 4,425187
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,1 unidad disponible,8,1 dorm.,36.76 m2,Tipo 10,238410
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,5 unidades disponibles,"1, 2, 3, 4, 5",1 dorm.,37.02 m2,Tipo 7,245943
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,1 unidad disponible,3,1 dorm.,36.72 m2,Tipo 13,262530
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,2 unidades disponibles,3 y 4,3 dorm.,67.96 m2,Tipo 1,475047
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,4 unidades disponibles,"1, 2, 3, 6",1 dorm.,66.46 m2,Tipo 11,449622
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,2 unidades disponibles,2 y 3,1 dorm.,64.40 m2,Tipo 12,440010
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,9 unidades disponibles,Entre 3 al 12,1 dorm.,56.34 m2,Tipo 15,368595
INVENT,Invent Chorrillos,Entrega Inmediata,Calle José Olaya 225,Chorrillos,150108,-12.1588843,-77.021169,3,3,3,3,3,3,3,"29 de Febrero, 2024",Departamento,36.72 a 136.77 m2,1 a 3 dormitorios,1 unidad disponible,,1 dorm.,47.74 m2,Tipo 2-l,274302
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,85.89 m2,6 -I,521244
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,9,3 dorm.,74.40 m2,1,484632
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,13,3 dorm.,74.57 m2,2,480951
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,12,3 dorm.,72.76 m2,3,466848
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,12,1 dorm.,42.45 m2,4,299187
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,11,2 dorm.,59.46 m2,7,405414
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,11,2 dorm.,58.96 m2,8,402012
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,16,1 dorm.,59.00 m2,4 - I,420660
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,8 unidades disponibles,Entre 15 al 22,2 dorm.,60.95 m2,5 - I,416961
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,1 unidad disponible,18,3 dorm.,61.07 m2,9 - I,428094
INVENT,Invent Tirado,En Construcción,Tirado 629,Cercado de lima,150101,-12.0738434,-77.0322219,4,4,4,4,4,4,4,"31 de Diciembre, 2023",Departamento,42.45 a 152.55 m2,1 a 3 dormitorios,4 unidades disponibles,"19, 20, 21, 22",2 dorm.,57.49 m2,9,408834
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,20 unidades disponibles,Entre 7 al 29,3 dorm.,67.73 m2,1,399061
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,18 unidades disponibles,Entre 6 al 29,3 dorm.,69.77 m2,2,410689
